half_year,bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
2023 H1,35,1995,0.8512865740774491,0.9571401777551853,0.9030806876508563,0.0002593544321057948,0.01428483807683315,0.0003198187134367405,,
2023 H1,36,1994,0.9571401777551853,1.077175336545981,1.0164178548179374,2.2122880582359224e-05,0.01197838235032219,0.00026824744535797223,,
2023 H1,37,1995,1.077175336545981,1.2318559277086367,1.149315387399852,0.0001685328939811623,0.012747595459504855,0.0002854018755650258,,
2023 H1,38,1995,1.2318559277086367,1.4467519702803115,1.3318100370052715,0.0007407798634373994,0.012801200919092743,0.0002866020312144194,,
2023 H1,39,1994,1.4467519702803115,1.756319166643516,1.587710591931161,0.00025053491768999573,0.010821278533998177,0.0002423349194704906,,
2023 H1,40,1995,1.756319166643516,2.387009472689156,2.0245150880799794,-0.0004566566085212082,0.01233134781754129,0.0002760826390005063,,
2023 H1,41,1995,2.387009472689156,31.780382279572194,3.7279078759751614,-0.0015867403879565403,0.013573167610255291,0.0003038853488590222,,
2023 H2,0,1971,-29.546477891153312,-2.2812332973508704,-3.508446678505612,0.0005891776731603115,0.014919393440764758,0.00033605306036576214,,
2023 H2,1,1971,-2.2812332973508704,-1.7440476801051399,-1.9770379779869558,0.0004138963131317284,0.01319163454869834,0.00029713601822471675,,
2023 H2,2,1971,-1.7440476801051399,-1.4468149421406866,-1.5842376488285765,0.0002813377757151693,0.011847089602876663,0.0002668507089970561,,
2023 H2,3,1971,-1.4468149421406866,-1.2515529727208106,-1.3441831183008663,0.00021116158163654851,0.011907029350639347,0.00026820082659755886,,
2023 H2,4,1970,-1.2515529727208106,-1.1027500405216586,-1.1746459650483427,0.00019947391977836519,0.012487931351138671,0.0002813567829375192,,
2023 H2,5,1971,-1.1027500405216586,-0.9798042316215978,-1.0390404759965293,0.0003273266583325055,0.012668407619047497,0.0002853505517663743,,
2023 H2,6,1971,-0.9798042316215978,-0.8762304094355172,-0.9272489005424216,0.00025902441611014873,0.01169252536144138,0.0002633692144869967,,
2023 H2,7,1971,-0.8762304094355172,-0.7848567920883734,-0.830103599062588,-5.018122205478062e-05,0.012084825924543307,0.00027220561962216795,,
2023 H2,8,1970,-0.7848567920883734,-0.7038490390032787,-0.7431791836966126,0.00033038326234109683,0.01297297397656496,0.00029228493659565614,,
2023 H2,9,1971,-0.7038490390032787,-0.6303470827150237,-0.6659653511788688,0.00041746503668288964,0.012762584503284562,0.00028747184646171384,,
2023 H2,10,1971,-0.6303470827150237,-0.5613519038090973,-0.5961513931178394,0.00011134887673345697,0.012094055919625622,0.0002724135213781534,,
2023 H2,11,1971,-0.5613519038090973,-0.4975352128953604,-0.5289487124035599,0.0009521372174334731,0.01139202546339728,0.0002566005807098756,,
2023 H2,12,1970,-0.4975352128953604,-0.4366653687019814,-0.46687431212595437,0.000513988642604476,0.01306402572812367,0.000294336359459784,,
2023 H2,13,1971,-0.4366653687019814,-0.3780635785025888,-0.4074541542824182,0.00046983155849902115,0.012157442712310075,0.0002738412822152782,,
2023 H2,14,1971,-0.3780635785025888,-0.32335963705899057,-0.35049088085996283,0.0001137248256142088,0.013108747689233905,0.00029526902658744125,,
2023 H2,15,1971,-0.32335963705899057,-0.2713137824013758,-0.2976260967473198,0.00010674398392721042,0.011550715756156507,0.00026017501279009447,,
2023 H2,16,1971,-0.2713137824013758,-0.21827217321058667,-0.2448533538033886,0.00034548874303737633,0.012542300674891546,0.0002825100459049772,,
2023 H2,17,1970,-0.21827217321058667,-0.16827844264907518,-0.19301391407492155,0.00041406371877631873,0.01217320397550692,0.00027426588217739905,,
2023 H2,18,1971,-0.16827844264907518,-0.11857888524032109,-0.14330182891460702,0.00016744407558324845,0.011017124612385826,0.00024815609676913505,,
2023 H2,19,1971,-0.11857888524032109,-0.06948894562034047,-0.09381337748926903,0.00017811214828424943,0.011751459716357089,0.0002646966860366102,,
2023 H2,20,1971,-0.06948894562034047,-0.018627230400365624,-0.0438877125280347,7.694461857041188e-05,0.013062489858893135,0.0002942270884206106,,
2023 H2,21,1970,-0.018627230400365624,0.030447537849600435,0.005569378804787885,-9.916342979877499e-05,0.011164865058318539,0.00025154770845642034,,
2023 H2,22,1971,0.030447537849600435,0.07973007885569637,0.05550400896305909,-8.355845973909662e-05,0.010086779088671095,0.0002272004552624454,,
2023 H2,23,1971,0.07973007885569637,0.12741760422415374,0.10320239319439803,-3.229791651371841e-05,0.012805014404713946,0.00028842756214030187,,
2023 H2,24,1971,0.12741760422415374,0.1771849081860824,0.15266703987906827,0.00022842328451717244,0.011381788403048586,0.0002563699952324574,,
2023 H2,25,1970,0.1771849081860824,0.22752166664712592,0.2019575517198481,2.93717348925402e-05,0.011470672445282827,0.0002584376392364255,,
2023 H2,26,1971,0.22752166664712592,0.28035641681090245,0.25423459370644447,1.9686677655004874e-06,0.010913887836281264,0.000245830731821158,,
2023 H2,27,1971,0.28035641681090245,0.33189497919262057,0.3057121320092102,-3.507261939613351e-05,0.01113673275989145,0.0002508502199701573,,
2023 H2,28,1971,0.33189497919262057,0.38667604549025475,0.3594508850640024,0.0005597706289283114,0.016605696660985915,0.000374036330939724,,
2023 H2,29,1971,0.38667604549025475,0.44332323032352944,0.4150312952152606,0.0003263091504465853,0.01142713121134776,0.00025739132291276927,,
2023 H2,30,1970,0.44332323032352944,0.501870921464512,0.4723737698146282,0.00018289269993451772,0.012600199004014807,0.0002838862063266297,,
2023 H2,31,1971,0.501870921464512,0.5671504169576054,0.5343021556902418,-0.0002023928189708978,0.01161378491721662,0.000261595619108515,,
2023 H2,32,1971,0.5671504169576054,0.6369329849009325,0.6006565248064255,-7.835742782121127e-05,0.011767495650323445,0.000265057888702564,,
2023 H2,33,1971,0.6369329849009325,0.7121325089453341,0.6742245146895117,-0.00010312039863109874,0.011089706206430629,0.00024979096663846475,,
2023 H2,34,1970,0.7121325089453341,0.7952948602470009,0.7530462679636805,-5.488066010455671e-06,0.011887574864648441,0.00026783057391978934,,
2023 H2,35,1971,0.7952948602470009,0.88981155932564,0.8414926418478321,-0.00016851530905235963,0.01283009627081137,0.00028899252062170326,,
2023 H2,36,1971,0.88981155932564,0.9912950744349449,0.9386207772842893,-0.0001965556259831278,0.013313895091062065,0.00029988988550400217,,
2023 H2,37,1971,0.9912950744349449,1.1098913796638497,1.0492973121689522,-0.0004076338582397051,0.011663186056849477,0.00026270835899469677,,
2023 H2,38,1970,1.1098913796638497,1.2619011255275276,1.1834655858552752,-0.00013322090259670831,0.012674904021271513,0.00028556933243724223,,
2023 H2,39,1971,1.2619011255275276,1.4583901629137799,1.3582585858978815,-0.0002617050622077599,0.01217954910841819,0.0002743392194870102,,
2023 H2,40,1971,1.4583901629137799,1.7546448876201939,1.591537678687349,-8.509802103015432e-05,0.012887956043642658,0.00029029578766196336,,
2023 H2,41,1971,1.7546448876201939,2.3508587906803315,2.0069918699901983,-3.0083765013679964e-05,0.014723183103425436,0.0003316335050668104,,
2023 H2,42,1971,2.3508587906803315,82.16157748304795,3.7803729062137785,-0.0006823299079104163,0.015723768233701252,0.00035417126416008,,
2024 H1,0,1958,-17.601407885114856,-2.2870777086243055,-3.299158018115752,-0.00016665478361433883,0.014364207214445857,0.00032462003316861306,,
2024 H1,1,1958,-2.2870777086243055,-1.745000364819821,-1.9799209054524873,-9.066857746982008e-05,0.014545637130486642,0.00032872020970350094,,
2024 H1,2,1958,-1.745000364819821,-1.471892494421936,-1.5979904574118566,0.00035604969315771866,0.014060585172130753,0.0003177584085780175,,
2024 H1,3,1958,-1.471892494421936,-1.2788317946876544,-1.3683198383631712,0.0006021089267583269,0.013350461030819376,0.0003017101492578303,,
2024 H1,4,1958,-1.2788317946876544,-1.1310255511419813,-1.2017362743566955,-9.510287462303766e-05,0.014548740722577645,0.0003287903484972737,,
2024 H1,5,1958,-1.1310255511419813,-1.0086099896532112,-1.0691505152127316,-7.903831025905736e-05,0.014264166213029157,0.0003223591834946087,,
2024 H1,6,1958,-1.0086099896532112,-0.9068045336973986,-0.9568229778356976,0.00039247039079712596,0.012503652508950577,0.0002825729280835172,,
2024 H1,7,1958,-0.9068045336973986,-0.8134820220303808,-0.8592300410058322,0.0004934147146764389,0.0137589082782959,0.00031094074284674164,,
2024 H1,8,1958,-0.8134820220303808,-0.7330954832743585,-0.7721636464939976,0.0001397171145594196,0.01297474489164193,0.0002932192535375912,,
2024 H1,9,1958,-0.7330954832743585,-0.657651354384797,-0.6950414460657243,-2.037473272459431e-07,0.01295358301238047,0.0002927410113453693,,
2024 H1,10,1958,-0.657651354384797,-0.5879828228680841,-0.6228823741088934,0.0005122672641704868,0.01354997198929517,0.00030621894344264126,,
2024 H1,11,1958,-0.5879828228680841,-0.5270914386124347,-0.5572149848261102,-4.610341190983598e-05,0.012738045759394,0.00028787003523308004,,
2024 H1,12,1958,-0.5270914386124347,-0.4653194675861946,-0.49603619867628296,-0.0002018964924167943,0.01282596193190438,0.00028985687310100465,,
2024 H1,13,1958,-0.4653194675861946,-0.40719846575047813,-0.4353666058773844,0.00018371344045831664,0.013165099392948838,0.00029752111883412486,,
2024 H1,14,1957,-0.40719846575047813,-0.3514025485942347,-0.37948947049687254,-8.740409280965158e-05,0.014272578401208071,0.00032263169107064215,,
2024 H1,15,1958,-0.3514025485942347,-0.2972163449283348,-0.32420586733840767,5.8967495386374466e-05,0.014019659732436377,0.0003168335251234216,,
2024 H1,16,1958,-0.2972163449283348,-0.2437554306883652,-0.27084355998722526,-8.779110902550697e-05,0.013519283085022926,0.00030552539781397996,,
2024 H1,17,1958,-0.2437554306883652,-0.19272035557467043,-0.21800970958621554,-4.100073161592626e-05,0.013136233994843611,0.00029686878304207914,,
2024 H1,18,1958,-0.19272035557467043,-0.14124151623259895,-0.16655792076878426,-8.222257963555199e-05,0.013235424057642406,0.00029911040215791586,,
2024 H1,19,1958,-0.14124151623259895,-0.09079467877058675,-0.11605265142424373,-0.000375288724618585,0.012183540815143199,0.00027533865005410345,,
2024 H1,20,1958,-0.09079467877058675,-0.03866784810482746,-0.06488104337959372,8.734044058887277e-05,0.012605277754515429,0.00028486958045656664,,
2024 H1,21,1958,-0.03866784810482746,0.011109956690877014,-0.01368187245659543,-0.000303928790714927,0.012715692100863336,0.0002873648597461679,,
2024 H1,22,1958,0.011109956690877014,0.06251531677076966,0.03688620085157988,0.00019145799556561987,0.012438963484503539,0.0002811110058939985,,
2024 H1,23,1958,0.06251531677076966,0.11260583457044096,0.08755175755956154,6.142621097677463e-05,0.012345470589318007,0.00027899813838359145,,
2024 H1,24,1958,0.11260583457044096,0.16440628839135382,0.1388515935090965,0.00039650029755825445,0.012882274706307652,0.00029112949848308787,,
2024 H1,25,1958,0.16440628839135382,0.21901389250799227,0.19134495563157858,-8.36335082293911e-05,0.012797079047168414,0.0002892041421245561,,
2024 H1,26,1958,0.21901389250799227,0.27455131989351794,0.24669751503002219,-0.00012168113810155672,0.012057081525221303,0.00027248076738253904,,
2024 H1,27,1958,0.27455131989351794,0.32719968694082535,0.30071515967524,2.1586674637940344e-05,0.013375703534035142,0.00030228061041233937,,
