symbol,holding_hours,arithmetic_contribution,log_return_contribution,mean_hourly_return,hourly_volatility,positive_hour_rate,worst_hour,best_hour,share_of_rank_1_hours,share_of_arithmetic_contribution
PEPEUSDT,1044,0.21598735726711882,0.074441148865598,0.00020688444182674216,0.01648782636049068,0.43199233716475094,-0.08870967741935487,0.10574948665297734,0.021681792693817366,0.02666978538598518
MEMEUSDT,136,0.21513039861474126,0.17787194674597395,0.0015818411662848622,0.023614261216029633,0.49264705882352944,-0.07767474617054981,0.10142840818192211,0.002824448090382339,0.026563969454753117
MOVRUSDT,55,0.21508121772044286,0.17080043931875996,0.003910567594917143,0.041215830617956035,0.43636363636363634,-0.07768237193600458,0.15570154856874718,0.0011422400365516813,0.02655789667386156
NEARUSDT,713,0.2146360755632708,0.14366084289252104,0.00030103236404385806,0.014140846199005878,0.4964936886395512,-0.059030469262417284,0.06283185840707972,0.014807584473842703,0.0265029312076035
RVNUSDT,67,0.21035794636052263,0.1745948844933721,0.00313967084120183,0.03342816550547802,0.4925373134328358,-0.06038601184788828,0.14617559410101633,0.0013914560445265935,0.025974674419176287
FLMUSDT,36,0.20792974477286075,0.1991879049868771,0.005775826243690576,0.022218663646013364,0.5555555555555556,-0.01945080091533191,0.11444805194805197,0.0007476480239247367,0.0256748438363299
FUNUSDT,28,0.20653749058347626,0.19256894610791897,0.007376338949409866,0.03196773752177698,0.4642857142857143,-0.041306367469449046,0.11246319921491676,0.0005815040186081285,0.02550293043869662
CYBERUSDT,152,0.20481286728483805,0.15422299988939678,0.0013474530742423555,0.0259385841430464,0.4934210526315789,-0.09029374201787987,0.11549975054049555,0.003156736101015555,0.025289976616638107
DASHUSDT,101,0.2041497471864725,0.1872494709082597,0.0020212846256086386,0.01839414250388748,0.504950495049505,-0.0402490549255059,0.061381971238162025,0.002097568067122178,0.025208095570764342
SOXLBUSDT,16,0.20013248403264916,0.19638275444051198,0.012508280252040573,0.018602566898337475,0.8125,-0.011284017995427442,0.05350244186894093,0.00033228801063321634,0.024712050119275294
CKBUSDT,77,0.198566460723839,0.18765835599779998,0.002578785204205701,0.016846071478740718,0.4935064935064935,-0.03334150527089974,0.04757486727488258,0.0015991360511723536,0.024518679979078778
IDEXUSDT,64,0.19778080221091077,0.17414124845193305,0.0030903250345454807,0.02782540556604275,0.515625,-0.035960468399634626,0.12158505717028878,0.0013291520425328654,0.02442166807897689
CHRUSDT,101,0.19730975449477683,0.15941627003692277,0.00195356192569086,0.027760388350753038,0.504950495049505,-0.059238917222440124,0.09514031485284047,0.002097568067122178,0.024363503834296987
TROYUSDT,85,0.18981030479735106,0.17654163069226578,0.0022330624093806007,0.01785600766640831,0.5176470588235295,-0.0319373942470389,0.09043760129659639,0.0017652800564889619,0.023437483364978594
FETUSDT,335,0.18659539678364367,0.15089246752404029,0.0005570011844287871,0.014682512961380281,0.48955223880597015,-0.04937142857142862,0.07596785975164355,0.006957280222632967,0.0230405114873366
